Model,Method,Data_Type,Accuracy_without_heuristics,Accuracy_with_heuristics,F1_without_heuristics,F1_with_heuristics,Accuracy_improvement,F1_improvement
gpt-4.1-mini,few_shot_gen,IND,0.685640306122449,0.7044302721088436,0.6480732763659429,0.6768269873470882,0.018789965986394597,0.02875371098114532
gpt-4.1-mini,few_shot_gen,OOD,0.7150559796437659,0.7232969063881077,0.6881323416404321,0.7003197293619361,0.008240926744341848,0.012187387721503962
gpt-4.1-mini,hypogenic,IND,0.6946386054421769,0.6729328231292516,0.6658625693533164,0.6196681364567718,-0.021705782312925304,-0.04619443289654468
gpt-4.1-mini,hypogenic,OOD,0.706836882282041,0.691388911209321,0.6740333339417532,0.6550558827104862,-0.015447971072720001,-0.01897745123126704
gpt-4.1-mini,hyporefine,IND,0.6963494897959184,0.7153503401360544,0.6708799451570786,0.6992021348924553,0.01900085034013599,0.0283221897353767
gpt-4.1-mini,hyporefine,OOD,0.7105998392928887,0.7051873577072453,0.6844520095088231,0.6908901260204134,-0.005412481585643447,0.006438116511590319
gpt-4.1-mini,literature_only,IND,0.5970994897959183,0.6308894557823129,0.511954198890433,0.5586462044127123,0.03378996598639461,0.046692005522279256
gpt-4.1-mini,literature_only,OOD,0.6345869827239856,0.6467663050756662,0.5728239346736622,0.5974659952188742,0.012179322351680621,0.024642060545212008
meta-llama/llama-3.1-70b-instruct,few_shot_gen,IND,0.6324744897959184,0.6087312925170068,0.5784900814259022,0.5685058282190195,-0.02374319727891161,-0.009984253206882676
meta-llama/llama-3.1-70b-instruct,few_shot_gen,OOD,0.6571339225927414,0.6252464175706443,0.6232502951550265,0.5998175580088672,-0.03188750502209714,-0.023432737146159344
meta-llama/llama-3.1-70b-instruct,hypogenic,IND,0.6505561224489795,0.6277670068027211,0.5914408719351656,0.5500506096231385,-0.022789115646258407,-0.04139026231202714
meta-llama/llama-3.1-70b-instruct,hypogenic,OOD,0.6580988348734431,0.6346098834873443,0.6085142839517174,0.5710238512346303,-0.023488951386098855,-0.037490432717087074
meta-llama/llama-3.1-70b-instruct,hyporefine,IND,0.6390986394557823,0.6219328231292517,0.5835896957075181,0.5537586519574021,-0.01716581632653058,-0.029831043750115915
meta-llama/llama-3.1-70b-instruct,hyporefine,OOD,0.6511214677916165,0.6356520691040578,0.6135646561705762,0.5838988098772957,-0.0154693986875587,-0.029665846293280507
meta-llama/llama-3.1-70b-instruct,literature_only,IND,0.5497704081632653,0.5361454081632653,0.4783187420812953,0.45918800783449215,-0.013624999999999998,-0.01913073424680317
meta-llama/llama-3.1-70b-instruct,literature_only,OOD,0.5562978438462569,0.5382686487210393,0.49297107601413526,0.47913510251754216,-0.018029195125217612,-0.013835973496593101
qwen/qwen3-32b,few_shot_gen,IND,0.6308503401360545,0.6656420068027211,0.5860630770130787,0.6376902341176768,0.034791666666666665,0.05162715710459809
qwen/qwen3-32b,few_shot_gen,OOD,0.6703311905718494,0.692985000669613,0.6469042924644103,0.675334776598387,0.02265381009776357,0.028430484133976752
qwen/qwen3-32b,hypogenic,IND,0.6918044217687075,0.6604727891156463,0.6690289423223552,0.6294436709920769,-0.03133163265306116,-0.03958527133027834
qwen/qwen3-32b,hypogenic,OOD,0.7006033212803,0.6935780099102719,0.6840481100717095,0.6799790795037589,-0.007025311370028153,-0.0040690305679506045
qwen/qwen3-32b,hyporefine,IND,0.6473061224489796,0.6706360544217687,0.6055359869682999,0.6461705582484898,0.023329931972789097,0.04063457128018988
qwen/qwen3-32b,hyporefine,OOD,0.6854368554975224,0.6749908932636937,0.6577699623610302,0.6521033825903106,-0.010445962233828765,-0.005666579770719604
qwen/qwen3-32b,literature_only,IND,0.5801377551020408,0.6446836734693877,0.5284803767168331,0.615249882676072,0.06454591836734691,0.08676950595923882
qwen/qwen3-32b,literature_only,OOD,0.6273940002678452,0.652590866479175,0.5804895340375367,0.6248000607021871,0.02519686621132977,0.04431052666465041
