Method,Dataset,Task,Data_Type,Seed,Accuracy,F1,Model
few_shot_gen,deceptive_reviews_IND_seed_42,deceptive_reviews,IND,42,0.64,0.6297142857142857,qwen/qwen3-32b
literature_only,deceptive_reviews_IND_seed_42,deceptive_reviews,IND,42,0.6133333333333333,0.5804398148148149,qwen/qwen3-32b
hypogenic,deceptive_reviews_IND_seed_42,deceptive_reviews,IND,42,0.66,0.6448303078137332,qwen/qwen3-32b
hyporefine,deceptive_reviews_IND_seed_42,deceptive_reviews,IND,42,0.6866666666666666,0.6761747278489734,qwen/qwen3-32b
few_shot_gen,deceptive_reviews_OOD_seed_42,deceptive_reviews,OOD,42,0.7833333333333333,0.7803435651929034,qwen/qwen3-32b
literature_only,deceptive_reviews_OOD_seed_42,deceptive_reviews,OOD,42,0.6766666666666666,0.6762313777411855,qwen/qwen3-32b
hypogenic,deceptive_reviews_OOD_seed_42,deceptive_reviews,OOD,42,0.7833333333333333,0.783138157675241,qwen/qwen3-32b
hyporefine,deceptive_reviews_OOD_seed_42,deceptive_reviews,OOD,42,0.67,0.6296711929076422,qwen/qwen3-32b
few_shot_gen,with_heuristics/deceptive_reviews_IND_seed_42,with_heuristics/deceptive_reviews,IND,42,0.6066666666666667,0.6036899377546907,qwen/qwen3-32b
literature_only,with_heuristics/deceptive_reviews_IND_seed_42,with_heuristics/deceptive_reviews,IND,42,0.5666666666666667,0.5056891943489882,qwen/qwen3-32b
hypogenic,with_heuristics/deceptive_reviews_IND_seed_42,with_heuristics/deceptive_reviews,IND,42,0.6733333333333333,0.6704626972740315,qwen/qwen3-32b
hyporefine,with_heuristics/deceptive_reviews_IND_seed_42,with_heuristics/deceptive_reviews,IND,42,0.6466666666666666,0.647596743615479,qwen/qwen3-32b
few_shot_gen,with_heuristics/deceptive_reviews_OOD_seed_42,with_heuristics/deceptive_reviews,OOD,42,0.7266666666666667,0.7021935983729601,qwen/qwen3-32b
literature_only,with_heuristics/deceptive_reviews_OOD_seed_42,with_heuristics/deceptive_reviews,OOD,42,0.67,0.6479999999999999,qwen/qwen3-32b
hypogenic,with_heuristics/deceptive_reviews_OOD_seed_42,with_heuristics/deceptive_reviews,OOD,42,0.7866666666666666,0.7866666666666666,qwen/qwen3-32b
hyporefine,with_heuristics/deceptive_reviews_OOD_seed_42,with_heuristics/deceptive_reviews,OOD,42,0.78,0.7737142857142857,qwen/qwen3-32b
few_shot_gen,llamagc_detect_IND_seed_42,llamagc_detect,IND,42,0.7466666666666667,0.7437511238985794,qwen/qwen3-32b
literature_only,llamagc_detect_IND_seed_42,llamagc_detect,IND,42,0.55,0.4554621848739495,qwen/qwen3-32b
hypogenic,llamagc_detect_IND_seed_42,llamagc_detect,IND,42,0.81,0.8096425510124567,qwen/qwen3-32b
hyporefine,llamagc_detect_IND_seed_42,llamagc_detect,IND,42,0.7566666666666667,0.758273642215976,qwen/qwen3-32b
few_shot_gen,llamagc_detect_OOD_seed_42,llamagc_detect,OOD,42,0.6433333333333333,0.6327189098273436,qwen/qwen3-32b
literature_only,llamagc_detect_OOD_seed_42,llamagc_detect,OOD,42,0.51,0.3710691823899371,qwen/qwen3-32b
hypogenic,llamagc_detect_OOD_seed_42,llamagc_detect,OOD,42,0.7766666666666666,0.7745600556309514,qwen/qwen3-32b
hyporefine,llamagc_detect_OOD_seed_42,llamagc_detect,OOD,42,0.8066666666666666,0.8056213414361678,qwen/qwen3-32b
few_shot_gen,with_heuristics/llamagc_detect_IND_seed_42,with_heuristics/llamagc_detect,IND,42,0.7766666666666666,0.7761069340016709,qwen/qwen3-32b
literature_only,with_heuristics/llamagc_detect_IND_seed_42,with_heuristics/llamagc_detect,IND,42,0.6,0.55,qwen/qwen3-32b
hypogenic,with_heuristics/llamagc_detect_IND_seed_42,with_heuristics/llamagc_detect,IND,42,0.6166666666666667,0.5977849023608277,qwen/qwen3-32b
hyporefine,with_heuristics/llamagc_detect_IND_seed_42,with_heuristics/llamagc_detect,IND,42,0.6533333333333333,0.6281996281996283,qwen/qwen3-32b
few_shot_gen,with_heuristics/llamagc_detect_OOD_seed_42,with_heuristics/llamagc_detect,OOD,42,0.72,0.7199875550024446,qwen/qwen3-32b
literature_only,with_heuristics/llamagc_detect_OOD_seed_42,with_heuristics/llamagc_detect,OOD,42,0.5633333333333334,0.5032114749936533,qwen/qwen3-32b
hypogenic,with_heuristics/llamagc_detect_OOD_seed_42,with_heuristics/llamagc_detect,OOD,42,0.61,0.5741893219783819,qwen/qwen3-32b
hyporefine,with_heuristics/llamagc_detect_OOD_seed_42,with_heuristics/llamagc_detect,OOD,42,0.5733333333333334,0.5150535461709436,qwen/qwen3-32b
few_shot_gen,gptgc_detect_IND_seed_42,gptgc_detect,IND,42,0.67,0.6557679157152957,qwen/qwen3-32b
literature_only,gptgc_detect_IND_seed_42,gptgc_detect,IND,42,0.4866666666666667,0.38089622641509435,qwen/qwen3-32b
hypogenic,gptgc_detect_IND_seed_42,gptgc_detect,IND,42,0.76,0.7575757575757576,qwen/qwen3-32b
hyporefine,gptgc_detect_IND_seed_42,gptgc_detect,IND,42,0.6266666666666667,0.5932400368020918,qwen/qwen3-32b
few_shot_gen,gptgc_detect_OOD_seed_42,gptgc_detect,OOD,42,0.6133333333333333,0.591069330199765,qwen/qwen3-32b
literature_only,gptgc_detect_OOD_seed_42,gptgc_detect,OOD,42,0.5533333333333333,0.47481187290969906,qwen/qwen3-32b
hypogenic,gptgc_detect_OOD_seed_42,gptgc_detect,OOD,42,0.7333333333333333,0.7294372294372296,qwen/qwen3-32b
hyporefine,gptgc_detect_OOD_seed_42,gptgc_detect,OOD,42,0.6333333333333333,0.6095783446121812,qwen/qwen3-32b
